Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,00:00.0,110,Grocery Store,South Kellyville,Vegan,Breakfast
2,Soup,22,00:00.0,791,Grocery Store,West James,Non-Vegetarian,Dinner
3,Fruits,46,00:00.0,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,00:00.0,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,00:00.0,279,Restaurant,Garciaport,Vegan,Dinner
6,Vegetables,4,00:00.0,378,Supermarket,South Johnshire,Vegan,Snacks
7,Dairy,29,00:00.0,268,Grocery Store,Nolanmouth,Vegetarian,Dinner
8,Rice,49,00:00.0,343,Catering Service,South Christopherborough,Vegan,Lunch
9,Bread,46,00:00.0,47,Supermarket,East Andrewland,Vegan,Snacks
10,Rice,41,00:00.0,528,Supermarket,Markport,Vegan,Dinner
11,Pasta,39,00:00.0,96,Grocery Store,Deborahland,Vegetarian,Breakfast
12,Pasta,15,00:00.0,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,00:00.0,115,Grocery Store,Floresville,Vegan,Snacks
14,Bread,19,00:00.0,621,Supermarket,Sarahland,Vegan,Dinner
15,Salad,3,00:00.0,74,Catering Service,Belindaville,Vegan,Breakfast
16,Dairy,6,00:00.0,862,Grocery Store,East Tammy,Vegetarian,Snacks
17,Chicken,42,00:00.0,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,00:00.0,455,Catering Service,Madisonfort,Vegan,Snacks
19,Rice,13,00:00.0,419,Supermarket,Port Peter,Vegan,Breakfast
20,Pasta,41,00:00.0,306,Catering Service,North Keith,Vegetarian,Snacks
21,Rice,38,00:00.0,277,Catering Service,West Aliciabury,Vegan,Dinner
22,Chicken,46,00:00.0,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks
23,Salad,43,00:00.0,1,Supermarket,New Jessica,Vegan,Dinner
24,Bread,20,00:00.0,897,Catering Service,Villastad,Vegan,Lunch
25,Rice,48,00:00.0,898,Restaurant,Medinatown,Vegan,Breakfast
26,Vegetables,34,00:00.0,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,00:00.0,262,Supermarket,New Carol,Vegan,Breakfast
28,Chicken,5,00:00.0,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner
29,Bread,18,00:00.0,196,Restaurant,Bartonborough,Vegan,Lunch
30,Soup,4,00:00.0,616,Restaurant,Clarkberg,Vegetarian,Dinner
31,Bread,42,00:00.0,535,Grocery Store,Valdezborough,Vegan,Snacks
32,Rice,27,00:00.0,611,Supermarket,Port Kendraborough,Vegan,Lunch
33,Salad,9,00:00.0,798,Grocery Store,North Amanda,Vegan,Breakfast
34,Bread,3,00:00.0,396,Catering Service,Heatherside,Vegan,Breakfast
35,Rice,6,00:00.0,108,Supermarket,East Austin,Vegan,Breakfast
36,Rice,35,00:00.0,1,Supermarket,New Jessica,Vegan,Breakfast
37,Fish,19,00:00.0,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,00:00.0,440,Grocery Store,Elliottberg,Vegan,Snacks
39,Bread,48,00:00.0,758,Catering Service,Port Patrick,Vegan,Breakfast
40,Fruits,12,00:00.0,965,Restaurant,Port Bryce,Vegan,Breakfast
41,Chicken,14,00:00.0,450,Catering Service,Grahamside,Non-Vegetarian,Dinner
42,Rice,50,00:00.0,179,Supermarket,North Michelle,Vegan,Lunch
43,Pasta,44,00:00.0,29,Grocery Store,Patrickmouth,Vegetarian,Lunch
44,Bread,39,00:00.0,290,Supermarket,Bradleyport,Vegan,Snacks
45,Fish,17,00:00.0,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,00:00.0,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
47,Salad,3,00:00.0,420,Catering Service,Anthonyton,Vegan,Snacks
48,Rice,30,00:00.0,150,Grocery Store,North Jamesberg,Vegan,Breakfast
49,Fish,41,00:00.0,700,Supermarket,Morriston,Non-Vegetarian,Dinner
50,Salad,28,00:00.0,514,Supermarket,Maxwellburgh,Vegan,Dinner
51,Dairy,14,00:00.0,828,Catering Service,Torresshire,Vegetarian,Snacks
52,Vegetables,23,00:00.0,460,Grocery Store,Lake Justin,Vegan,Snacks
53,Fruits,13,00:00.0,174,Grocery Store,North Carolfurt,Vegan,Lunch
54,Soup,15,00:00.0,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks
55,Vegetables,19,00:00.0,967,Grocery Store,Coleburgh,Vegan,Breakfast
56,Vegetables,9,00:00.0,125,Supermarket,Lake April,Vegan,Lunch
57,Chicken,23,00:00.0,977,Restaurant,South Jessicachester,Non-Vegetarian,Dinner
58,Pasta,39,00:00.0,270,Catering Service,Cunninghambury,Vegetarian,Lunch
59,Vegetables,38,00:00.0,251,Restaurant,East Terrancemouth,Vegan,Snacks
60,Pasta,49,00:00.0,153,Restaurant,Hawkinsmouth,Vegetarian,Breakfast
61,Fruits,33,00:00.0,243,Catering Service,West Catherine,Vegan,Lunch
62,Rice,21,00:00.0,520,Catering Service,Port Andre,Vegan,Breakfast
63,Salad,6,00:00.0,335,Grocery Store,North Gary,Vegan,Dinner
64,Soup,41,00:00.0,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner
65,Fruits,45,00:00.0,602,Grocery Store,North Destiny,Vegan,Breakfast
66,Fish,6,00:00.0,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast
67,Rice,50,00:00.0,455,Catering Service,Madisonfort,Vegan,Breakfast
68,Rice,15,00:00.0,113,Catering Service,East Elizabethberg,Vegan,Snacks
69,Bread,47,00:00.0,504,Catering Service,Gaineschester,Vegan,Snacks
70,Rice,7,00:00.0,313,Supermarket,Boylechester,Vegan,Lunch
71,Fish,45,00:00.0,750,Supermarket,Michaelton,Non-Vegetarian,Lunch
72,Dairy,11,00:00.0,293,Catering Service,Joneshaven,Vegetarian,Dinner
73,Soup,48,00:00.0,485,Restaurant,East Andrea,Vegan,Breakfast
74,Chicken,12,00:00.0,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast
75,Bread,35,00:00.0,389,Grocery Store,Davidborough,Vegan,Dinner
76,Pasta,40,00:00.0,905,Restaurant,North Kennethshire,Vegetarian,Lunch
77,Rice,4,00:00.0,890,Restaurant,Pereztown,Vegan,Lunch
78,Chicken,1,00:00.0,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner
79,Rice,25,00:00.0,100,Catering Service,Mooreview,Vegan,Breakfast
80,Dairy,36,00:00.0,434,Restaurant,Nicoletown,Vegetarian,Breakfast
81,Fruits,33,00:00.0,848,Supermarket,Fowlerbury,Vegan,Snacks
82,Vegetables,26,00:00.0,631,Supermarket,North Kevinhaven,Vegan,Snacks
83,Rice,44,00:00.0,312,Restaurant,North Ianbury,Vegan,Dinner
84,Rice,25,00:00.0,967,Grocery Store,Coleburgh,Vegan,Snacks
85,Pasta,28,00:00.0,554,Restaurant,Brandyberg,Vegetarian,Lunch
86,Soup,13,00:00.0,288,Supermarket,Maynardstad,Vegetarian,Dinner
87,Salad,37,00:00.0,34,Grocery Store,North Garybury,Vegan,Breakfast
88,Vegetables,22,00:00.0,491,Supermarket,Samanthabury,Vegan,Dinner
89,Chicken,3,00:00.0,844,Grocery Store,Olsenstad,Non-Vegetarian,Lunch
90,Bread,29,00:00.0,477,Supermarket,East Jacobchester,Vegan,Breakfast
91,Vegetables,9,00:00.0,275,Supermarket,Brittanyport,Vegan,Breakfast
92,Chicken,42,00:00.0,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast
93,Salad,49,00:00.0,264,Catering Service,New Richard,Vegan,Lunch
94,Rice,35,00:00.0,722,Restaurant,Linchester,Vegan,Lunch
95,Pasta,19,00:00.0,120,Restaurant,New Lisa,Vegetarian,Snacks
96,Dairy,5,00:00.0,656,Restaurant,South Tiffanyfort,Vegetarian,Breakfast
97,Rice,44,00:00.0,346,Grocery Store,Thomasville,Vegan,Dinner
98,Salad,26,00:00.0,632,Supermarket,Davidville,Vegan,Breakfast
99,Bread,8,00:00.0,162,Restaurant,Penabury,Vegan,Dinner
100,Vegetables,22,00:00.0,647,Restaurant,West Kara,Vegan,Breakfast
101,Dairy,35,00:00.0,538,Restaurant,Jasonmouth,Vegetarian,Dinner
102,Rice,35,00:00.0,584,Supermarket,Moralesside,Vegan,Snacks
103,Bread,35,00:00.0,391,Supermarket,South Jerryside,Vegan,Snacks
104,Dairy,3,00:00.0,468,Supermarket,East Johnburgh,Vegetarian,Dinner
105,Rice,2,00:00.0,698,Grocery Store,Phillipsmouth,Vegan,Breakfast
106,Rice,31,00:00.0,253,Catering Service,Sharonton,Vegan,Breakfast
107,Salad,29,00:00.0,464,Catering Service,Port Jacob,Vegan,Breakfast
108,Fruits,22,00:00.0,835,Catering Service,Thorntonbury,Vegan,Snacks
109,Fruits,7,00:00.0,998,Grocery Store,Joshuastad,Vegan,Dinner
110,Salad,49,00:00.0,354,Catering Service,South Alicia,Vegan,Dinner
111,Soup,13,00:00.0,904,Grocery Store,West Miaside,Vegetarian,Snacks
112,Chicken,32,00:00.0,308,Catering Service,Brittanyside,Non-Vegetarian,Lunch
113,Soup,14,00:00.0,623,Supermarket,Latoyaberg,Vegetarian,Breakfast
114,Vegetables,28,00:00.0,906,Supermarket,West Kevin,Vegan,Breakfast
115,Pasta,8,00:00.0,963,Supermarket,East Bernard,Vegetarian,Lunch
116,Soup,32,00:00.0,570,Supermarket,Lake Vanessa,Vegetarian,Lunch
117,Soup,32,00:00.0,530,Catering Service,Johnstonhaven,Non-Vegetarian,Snacks
118,Dairy,42,00:00.0,863,Restaurant,Port Michael,Vegetarian,Lunch
119,Bread,49,00:00.0,135,Catering Service,East Candace,Vegan,Breakfast
120,Rice,30,00:00.0,785,Catering Service,Lindseybury,Vegan,Lunch
121,Vegetables,16,00:00.0,314,Restaurant,Rodriguezfurt,Vegan,Dinner
122,Fruits,7,00:00.0,846,Supermarket,South Thomasville,Vegan,Snacks
123,Soup,11,00:00.0,148,Grocery Store,Annahaven,Vegetarian,Lunch
124,Salad,50,00:00.0,909,Restaurant,Sheilaburgh,Vegan,Snacks
125,Rice,21,00:00.0,982,Grocery Store,Westbury,Vegan,Dinner
126,Dairy,27,00:00.0,54,Supermarket,Lake Rachael,Vegetarian,Lunch
127,Rice,48,00:00.0,763,Restaurant,Josephburgh,Vegan,Snacks
128,Rice,39,00:00.0,235,Catering Service,Gutierrezshire,Vegan,Snacks
129,Chicken,26,00:00.0,798,Grocery Store,North Amanda,Non-Vegetarian,Dinner
130,Vegetables,47,00:00.0,997,Catering Service,East Rossside,Vegan,Breakfast
131,Fish,16,00:00.0,241,Catering Service,Devinmouth,Non-Vegetarian,Dinner
132,Soup,20,00:00.0,840,Restaurant,Cisnerostown,Non-Vegetarian,Snacks
133,Rice,28,00:00.0,795,Catering Service,Brownberg,Vegan,Lunch
134,Rice,1,00:00.0,39,Supermarket,Brittanyville,Vegan,Dinner
135,Rice,44,00:00.0,980,Restaurant,Port Melissa,Vegan,Lunch
136,Bread,29,00:00.0,723,Supermarket,Jessicaland,Vegan,Dinner
137,Pasta,29,00:00.0,87,Grocery Store,West Adam,Vegetarian,Snacks
138,Soup,24,00:00.0,558,Catering Service,North Sharonberg,Non-Vegetarian,Snacks
139,Rice,3,00:00.0,446,Catering Service,Port Richardshire,Vegan,Dinner
140,Chicken,18,00:00.0,967,Grocery Store,Coleburgh,Non-Vegetarian,Dinner
141,Dairy,33,00:00.0,702,Supermarket,Lake Mistyton,Vegetarian,Lunch
142,Soup,41,00:00.0,368,Grocery Store,North Lindseychester,Vegetarian,Snacks
143,Fish,18,00:00.0,938,Restaurant,Hollyhaven,Non-Vegetarian,Lunch
144,Bread,18,00:00.0,810,Catering Service,Lake Jason,Vegan,Lunch
145,Rice,12,00:00.0,751,Restaurant,East Richardside,Vegan,Lunch
146,Chicken,17,00:00.0,172,Grocery Store,Garciaside,Non-Vegetarian,Lunch
147,Vegetables,47,00:00.0,619,Grocery Store,North Katelynland,Vegan,Breakfast
148,Pasta,16,00:00.0,650,Restaurant,Garzaville,Vegetarian,Breakfast
149,Fish,18,00:00.0,816,Supermarket,New Jamesburgh,Non-Vegetarian,Breakfast
150,Fish,50,00:00.0,332,Restaurant,West Whitneymouth,Non-Vegetarian,Snacks
151,Chicken,19,00:00.0,902,Supermarket,Port Robertport,Non-Vegetarian,Dinner
152,Fish,46,00:00.0,58,Grocery Store,North Kevinhaven,Non-Vegetarian,Dinner
153,Fish,20,00:00.0,737,Restaurant,Port Andrea,Non-Vegetarian,Breakfast
154,Pasta,46,00:00.0,4,Grocery Store,Mendezmouth,Vegetarian,Breakfast
155,Fruits,20,00:00.0,602,Grocery Store,North Destiny,Vegan,Dinner
156,Fish,24,00:00.0,970,Catering Service,Jeffreybury,Non-Vegetarian,Snacks
157,Chicken,37,00:00.0,600,Catering Service,Meganshire,Non-Vegetarian,Breakfast
158,Bread,22,00:00.0,687,Catering Service,North James,Vegan,Breakfast
159,Pasta,7,00:00.0,653,Catering Service,Cameronside,Vegetarian,Lunch
160,Rice,27,00:00.0,367,Grocery Store,Deckermouth,Vegan,Snacks
161,Vegetables,32,00:00.0,414,Supermarket,New Matthew,Vegan,Breakfast
162,Pasta,50,00:00.0,826,Supermarket,Lake Karenfurt,Vegetarian,Breakfast
163,Bread,45,00:00.0,251,Restaurant,East Terrancemouth,Vegan,Dinner
164,Dairy,22,00:00.0,432,Restaurant,Carolchester,Vegetarian,Dinner
165,Bread,22,00:00.0,90,Supermarket,Lake Kristentown,Vegan,Lunch
166,Soup,9,00:00.0,58,Grocery Store,North Kevinhaven,Vegan,Lunch
167,Fish,4,00:00.0,134,Supermarket,West Melissa,Non-Vegetarian,Lunch
168,Salad,26,00:00.0,306,Catering Service,North Keith,Vegan,Lunch
169,Fruits,18,00:00.0,336,Supermarket,East Sandra,Vegan,Snacks
170,Fruits,49,00:00.0,403,Grocery Store,Jeremiahfort,Vegan,Breakfast
171,Salad,25,00:00.0,103,Catering Service,Port Michaelshire,Vegan,Snacks
172,Rice,45,00:00.0,826,Supermarket,Lake Karenfurt,Vegan,Breakfast
173,Soup,17,00:00.0,538,Restaurant,Jasonmouth,Vegan,Dinner
174,Chicken,23,00:00.0,903,Catering Service,Lake Kari,Non-Vegetarian,Breakfast
175,Dairy,26,00:00.0,465,Restaurant,Johnton,Vegetarian,Breakfast
176,Fish,19,00:00.0,316,Supermarket,Williamsfort,Non-Vegetarian,Snacks
177,Dairy,22,00:00.0,863,Restaurant,Port Michael,Vegetarian,Breakfast
178,Dairy,47,00:00.0,847,Supermarket,Williamsonmouth,Vegetarian,Breakfast
179,Bread,11,00:00.0,601,Catering Service,Port Troychester,Vegan,Breakfast
180,Salad,35,00:00.0,7,Restaurant,Lake Christopherburgh,Vegan,Dinner
181,Rice,35,00:00.0,47,Supermarket,East Andrewland,Vegan,Lunch
182,Soup,29,00:00.0,247,Catering Service,Port Aaron,Vegan,Breakfast
183,Salad,15,00:00.0,730,Supermarket,Benjaminstad,Vegan,Snacks
184,Salad,7,00:00.0,182,Grocery Store,Port Jeffrey,Vegan,Dinner
185,Soup,19,00:00.0,498,Grocery Store,East Craig,Non-Vegetarian,Lunch
186,Pasta,48,00:00.0,306,Catering Service,North Keith,Vegetarian,Breakfast
187,Dairy,38,00:00.0,910,Restaurant,Leeburgh,Vegetarian,Snacks
188,Soup,4,00:00.0,55,Grocery Store,Danachester,Vegan,Breakfast
189,Salad,7,00:00.0,948,Supermarket,West Lisamouth,Vegan,Breakfast
190,Salad,25,00:00.0,262,Supermarket,New Carol,Vegan,Snacks
191,Salad,13,00:00.0,508,Restaurant,Walkerfurt,Vegan,Lunch
192,Vegetables,5,00:00.0,320,Supermarket,Lake Jeffreytown,Vegan,Snacks
193,Pasta,25,00:00.0,354,Catering Service,South Alicia,Vegetarian,Breakfast
194,Chicken,39,00:00.0,31,Grocery Store,South Kellyberg,Non-Vegetarian,Lunch
195,Vegetables,31,00:00.0,847,Supermarket,Williamsonmouth,Vegan,Snacks
196,Fish,27,00:00.0,989,Grocery Store,North Lauren,Non-Vegetarian,Breakfast
197,Rice,21,00:00.0,453,Grocery Store,East Timothy,Vegan,Breakfast
198,Bread,50,00:00.0,287,Catering Service,Jefferyside,Vegan,Breakfast
199,Vegetables,16,00:00.0,244,Supermarket,Toddberg,Vegan,Breakfast
200,Bread,3,00:00.0,794,Supermarket,Woodport,Vegan,Dinner
201,Soup,35,00:00.0,330,Restaurant,Jamesport,Vegetarian,Dinner
202,Dairy,17,00:00.0,319,Restaurant,Lake Amymouth,Vegetarian,Lunch
203,Pasta,8,00:00.0,215,Grocery Store,New Curtis,Vegetarian,Breakfast
204,Fish,11,00:00.0,896,Grocery Store,Weberfurt,Non-Vegetarian,Lunch
205,Dairy,13,00:00.0,22,Catering Service,Port Lisamouth,Vegetarian,Breakfast
206,Rice,28,00:00.0,931,Supermarket,South Allisonburgh,Vegan,Breakfast
207,Salad,42,00:00.0,523,Restaurant,Lake Lorrainefort,Vegan,Dinner
208,Rice,27,00:00.0,215,Grocery Store,New Curtis,Vegan,Dinner
209,Fish,31,00:00.0,422,Catering Service,Smithfort,Non-Vegetarian,Dinner
210,Fruits,17,00:00.0,990,Catering Service,Lake Latasha,Vegan,Breakfast
211,Chicken,37,00:00.0,242,Restaurant,Michaelport,Non-Vegetarian,Snacks
212,Salad,33,00:00.0,228,Supermarket,Andrewsmouth,Vegan,Dinner
213,Fruits,20,00:00.0,122,Catering Service,Tyronebury,Vegan,Snacks
214,Soup,9,00:00.0,24,Supermarket,Hestermouth,Vegan,Breakfast
215,Bread,50,00:00.0,315,Restaurant,Lake Andrewmouth,Vegan,Snacks
216,Vegetables,33,00:00.0,206,Catering Service,Port Emilyburgh,Vegan,Dinner
217,Soup,42,00:00.0,290,Supermarket,Bradleyport,Vegetarian,Lunch
218,Fish,38,00:00.0,159,Grocery Store,North Brooke,Non-Vegetarian,Snacks
219,Fish,26,00:00.0,323,Restaurant,Jasmineberg,Non-Vegetarian,Snacks
220,Pasta,18,00:00.0,976,Restaurant,Davisview,Vegetarian,Snacks
221,Bread,11,00:00.0,211,Restaurant,Lake James,Vegan,Snacks
222,Vegetables,23,00:00.0,333,Restaurant,Port Heidiland,Vegan,Breakfast
223,Bread,38,00:00.0,524,Grocery Store,West Amandafurt,Vegan,Snacks
224,Fruits,29,00:00.0,556,Catering Service,Brittanyland,Vegan,Snacks
225,Fish,26,00:00.0,340,Grocery Store,Murrayborough,Non-Vegetarian,Dinner
226,Rice,26,00:00.0,242,Restaurant,Michaelport,Vegan,Snacks
227,Vegetables,25,00:00.0,923,Supermarket,Jonestown,Vegan,Breakfast
228,Rice,12,00:00.0,98,Supermarket,Gardnerfort,Vegan,Snacks
229,Pasta,26,00:00.0,210,Grocery Store,Paulmouth,Vegetarian,Dinner
230,Fruits,17,00:00.0,596,Restaurant,Zimmermanville,Vegan,Breakfast
231,Rice,33,00:00.0,782,Supermarket,North Mary,Vegan,Breakfast
232,Soup,19,00:00.0,610,Supermarket,Allenton,Vegan,Lunch
233,Fish,19,00:00.0,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks
234,Rice,10,00:00.0,888,Supermarket,West Sharonview,Vegan,Dinner
235,Dairy,38,00:00.0,170,Catering Service,North Brentbury,Vegetarian,Lunch
236,Soup,50,00:00.0,231,Supermarket,North Tom,Non-Vegetarian,Lunch
237,Salad,39,00:00.0,643,Supermarket,North Ebony,Vegan,Dinner
238,Vegetables,2,00:00.0,621,Supermarket,Sarahland,Vegan,Breakfast
239,Pasta,26,00:00.0,372,Restaurant,Lewisberg,Vegetarian,Dinner
240,Fruits,46,00:00.0,319,Restaurant,Lake Amymouth,Vegan,Lunch
241,Fish,4,00:00.0,135,Catering Service,East Candace,Non-Vegetarian,Breakfast
242,Soup,17,00:00.0,655,Restaurant,Jimmyberg,Vegan,Dinner
243,Fruits,30,00:00.0,750,Supermarket,Michaelton,Vegan,Snacks
244,Soup,17,00:00.0,46,Grocery Store,South Lisaberg,Non-Vegetarian,Snacks
245,Chicken,5,00:00.0,48,Restaurant,Timothyview,Non-Vegetarian,Dinner
246,Salad,50,00:00.0,768,Restaurant,South Danielle,Vegan,Snacks
247,Fish,17,00:00.0,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch
248,Vegetables,32,00:00.0,960,Supermarket,Port Lance,Vegan,Lunch
249,Salad,39,00:00.0,596,Restaurant,Zimmermanville,Vegan,Breakfast
250,Bread,8,00:00.0,316,Supermarket,Williamsfort,Vegan,Snacks
251,Dairy,12,00:00.0,241,Catering Service,Devinmouth,Vegetarian,Lunch
